customer_id,churn_probability,risk_level
CUST004181,1.0,High
CUST000543,1.0,High
CUST003790,1.0,High
CUST002057,1.0,High
CUST002117,1.0,High
CUST006013,1.0,High
CUST006030,1.0,High
CUST007574,1.0,High
CUST007245,1.0,High
CUST000622,1.0,High
CUST007614,1.0,High
CUST005774,1.0,High
CUST006649,1.0,High
CUST003656,1.0,High
CUST007795,1.0,High
CUST007221,1.0,High
CUST003533,1.0,High
CUST003580,1.0,High
CUST004871,1.0,High
CUST000352,1.0,High
CUST007379,1.0,High
CUST006685,1.0,High
CUST001715,1.0,High
CUST003420,1.0,High
CUST000501,1.0,High
CUST002150,1.0,High
CUST007092,1.0,High
CUST003058,1.0,High
CUST002594,1.0,High
CUST007445,1.0,High
CUST000322,1.0,High
CUST003604,1.0,High
CUST004811,1.0,High
CUST000936,1.0,High
CUST004704,1.0,High
CUST006967,1.0,High
CUST006965,1.0,High
CUST006554,1.0,High
CUST006982,1.0,High
CUST003448,1.0,High
CUST001459,1.0,High
CUST001477,1.0,High
CUST002501,1.0,High
CUST007214,1.0,High
CUST005154,1.0,High
CUST003875,1.0,High
CUST002296,1.0,High
CUST004537,1.0,High
CUST007843,1.0,High
CUST006513,1.0,High
CUST006452,1.0,High
CUST005455,1.0,High
CUST005306,1.0,High
CUST000269,1.0,High
CUST005588,1.0,High
CUST003264,1.0,High
CUST003161,1.0,High
CUST000751,1.0,High
CUST005328,1.0,High
CUST005413,1.0,High
CUST000900,1.0,High
CUST007208,1.0,High
CUST004515,1.0,High
CUST006852,1.0,High
CUST003355,1.0,High
CUST005508,1.0,High
CUST001612,1.0,High
CUST007469,1.0,High
CUST003095,1.0,High
CUST003396,1.0,High
CUST006414,1.0,High
CUST001971,1.0,High
CUST002033,1.0,High
CUST006776,1.0,High
CUST005929,1.0,High
CUST005916,1.0,High
CUST001344,1.0,High
CUST002747,1.0,High
CUST007168,1.0,High
CUST007592,1.0,High
CUST007407,1.0,High
CUST006945,1.0,High
CUST001324,1.0,High
CUST002783,1.0,High
CUST002806,1.0,High
CUST000540,0.9966666666666667,High
CUST007190,0.9966666666666667,High
CUST007576,0.9966666666666667,High
CUST007995,0.9966666666666667,High
CUST006206,0.9966666666666667,High
CUST001207,0.9966666666666667,High
CUST007965,0.9966666666666667,High
CUST006076,0.9966666666666667,High
CUST001325,0.9966666666666667,High
CUST001295,0.9966666666666667,High
CUST001283,0.9966666666666667,High
CUST000852,0.9966666666666667,High
CUST000822,0.9966666666666667,High
CUST000825,0.9966666666666667,High
CUST001350,0.9966666666666667,High
CUST006292,0.9966666666666667,High
CUST005918,0.9966666666666667,High
CUST005897,0.9966666666666667,High
CUST004214,0.9966666666666667,High
CUST004168,0.9966666666666667,High
CUST007341,0.9966666666666667,High
CUST004384,0.9966666666666667,High
CUST000480,0.9966666666666667,High
CUST004370,0.9966666666666667,High
CUST004431,0.9966666666666667,High
CUST004421,0.9966666666666667,High
CUST006739,0.9966666666666667,High
CUST001951,0.9966666666666667,High
CUST005559,0.9966666666666667,High
CUST005561,0.9966666666666667,High
CUST001594,0.9966666666666667,High
CUST001598,0.9966666666666667,High
CUST001566,0.9966666666666667,High
CUST003231,0.9966666666666667,High
CUST003310,0.9966666666666667,High
CUST003285,0.9966666666666667,High
CUST000707,0.9966666666666667,High
CUST000710,0.9966666666666667,High
CUST007485,0.9966666666666667,High
CUST005504,0.9966666666666667,High
CUST005438,0.9966666666666667,High
CUST006991,0.9966666666666667,High
CUST003353,0.9966666666666667,High
CUST003330,0.9966666666666667,High
CUST003934,0.9966666666666667,High
CUST000467,0.9966666666666667,High
CUST004460,0.9966666666666667,High
CUST004645,0.9966666666666667,High
CUST007269,0.9966666666666667,High
CUST004023,0.9966666666666667,High
CUST007202,0.9966666666666667,High
CUST007205,0.9966666666666667,High
CUST005368,0.9966666666666667,High
CUST003117,0.9966666666666667,High
CUST005849,0.9966666666666667,High
CUST002910,0.9966666666666667,High
CUST007505,0.9966666666666667,High
CUST001527,0.9966666666666667,High
CUST000183,0.9966666666666667,High
CUST006397,0.9966666666666667,High
CUST005602,0.9966666666666667,High
CUST005604,0.9966666666666667,High
CUST005693,0.9966666666666667,High
CUST005695,0.9966666666666667,High
CUST006410,0.9966666666666667,High
CUST007464,0.9966666666666667,High
CUST001642,0.9966666666666667,High
CUST001110,0.9966666666666667,High
CUST001115,0.9966666666666667,High
CUST001116,0.9966666666666667,High
CUST005275,0.9966666666666667,High
CUST005278,0.9966666666666667,High
CUST006509,0.9966666666666667,High
CUST006446,0.9966666666666667,High
CUST005082,0.9966666666666667,High
CUST006520,0.9966666666666667,High
CUST004584,0.9966666666666667,High
CUST004539,0.9966666666666667,High
CUST004531,0.9966666666666667,High
CUST003837,0.9966666666666667,High
CUST003796,0.9966666666666667,High
CUST003797,0.9966666666666667,High
CUST005187,0.9966666666666667,High
CUST002449,0.9966666666666667,High
CUST003441,0.9966666666666667,High
CUST004254,0.9966666666666667,High
CUST004267,0.9966666666666667,High
CUST002071,0.9966666666666667,High
CUST000996,0.9966666666666667,High
CUST001002,0.9966666666666667,High
CUST004335,0.9966666666666667,High
CUST006874,0.9966666666666667,High
CUST000553,0.9966666666666667,High
CUST000559,0.9966666666666667,High
CUST006836,0.9966666666666667,High
CUST005658,0.9966666666666667,High
CUST001472,0.9966666666666667,High
CUST007507,0.9966666666666667,High
CUST000749,0.9966666666666667,High
CUST006989,0.9966666666666667,High
CUST001123,0.9966666666666667,High
CUST001637,0.9966666666666667,High
CUST001658,0.9966666666666667,High
CUST000312,0.9966666666666667,High
CUST003539,0.9966666666666667,High
CUST006971,0.9966666666666667,High
CUST007858,0.9966666666666667,High
CUST006701,0.9966666666666667,High
CUST006670,0.9966666666666667,High
CUST000402,0.9966666666666667,High
CUST004694,0.9966666666666667,High
CUST002366,0.9966666666666667,High
CUST002302,0.9966666666666667,High
CUST003495,0.9966666666666667,High
CUST003476,0.9966666666666667,High
CUST003633,0.9966666666666667,High
CUST000300,0.9966666666666667,High
CUST000302,0.9966666666666667,High
CUST004930,0.9966666666666667,High
CUST001724,0.9966666666666667,High
CUST002863,0.9966666666666667,High
CUST000171,0.9966666666666667,High
CUST000141,0.9966666666666667,High
CUST002811,0.9966666666666667,High
CUST002878,0.9966666666666667,High
CUST002555,0.9966666666666667,High
CUST000767,0.9966666666666667,High
CUST007104,0.9966666666666667,High
CUST004011,0.9966666666666667,High
CUST007679,0.9966666666666667,High
CUST006766,0.9966666666666667,High
CUST007646,0.9966666666666667,High
CUST001082,0.9966666666666667,High
CUST003391,0.9966666666666667,High
CUST002359,0.9966666666666667,High
CUST000966,0.9966666666666667,High
CUST001897,0.9966666666666667,High
CUST001843,0.9966666666666667,High
CUST007404,0.9966666666666667,High
CUST004619,0.9966666666666667,High
CUST005083,0.9966666666666667,High
CUST003594,0.9966666666666667,High
CUST003559,0.9966666666666667,High
CUST006913,0.9966666666666667,High
CUST004797,0.9966666666666667,High
CUST001096,0.9966666666666667,High
CUST001066,0.9966666666666667,High
CUST007420,0.9966666666666667,High
CUST001747,0.9966666666666667,High
CUST002387,0.9966666666666667,High
CUST007236,0.9966666666666667,High
CUST007243,0.9966666666666667,High
CUST001828,0.9966666666666667,High
CUST004759,0.9966666666666667,High
CUST006636,0.9966666666666667,High
CUST002773,0.9966666666666667,High
CUST001007,0.9966666666666667,High
CUST002014,0.9966666666666667,High
CUST004244,0.9966666666666667,High
CUST005824,0.9966666666666667,High
CUST005753,0.9966666666666667,High
CUST001387,0.9966666666666667,High
CUST000809,0.9966666666666667,High
CUST000813,0.9966666666666667,High
CUST002859,0.9966666666666667,High
CUST003662,0.9966666666666667,High
CUST006943,0.9966666666666667,High
CUST007253,0.9966666666666667,High
CUST007943,0.9966666666666667,High
CUST005989,0.9966666666666667,High
CUST005957,0.9966666666666667,High
CUST006287,0.9966666666666667,High
CUST006113,0.9966666666666667,High
CUST000068,0.9966666666666667,High
CUST002835,0.9966666666666667,High
CUST000847,0.9966666666666667,High
CUST002128,0.9966666666666667,High
CUST007983,0.9966666666666667,High
CUST000025,0.9966666666666667,High
CUST001337,0.9966666666666667,High
CUST004075,0.9966666666666667,High
CUST002665,0.9933333333333333,High
CUST007200,0.9933333333333333,High
CUST001223,0.9933333333333333,High
CUST007597,0.9933333333333333,High
CUST006051,0.9933333333333333,High
CUST001185,0.9933333333333333,High
CUST007170,0.9933333333333333,High
CUST003647,0.9933333333333333,High
CUST001813,0.9933333333333333,High
CUST004754,0.9933333333333333,High
CUST007864,0.9933333333333333,High
CUST004743,0.9933333333333333,High
CUST004744,0.9933333333333333,High
CUST003778,0.9933333333333333,High
CUST004799,0.9933333333333333,High
CUST001094,0.9933333333333333,High
CUST001753,0.9933333333333333,High
CUST002420,0.9933333333333333,High
CUST000629,0.9933333333333333,High
CUST003723,0.9933333333333333,High
CUST004647,0.9933333333333333,High
CUST001890,0.9933333333333333,High
CUST001858,0.9933333333333333,High
CUST004625,0.9933333333333333,High
CUST007443,0.9933333333333333,High
CUST006583,0.9933333333333333,High
CUST000651,0.9933333333333333,High
CUST000914,0.9933333333333333,High
CUST002435,0.9933333333333333,High
CUST007220,0.9933333333333333,High
CUST004812,0.9933333333333333,High
CUST003632,0.9933333333333333,High
CUST004955,0.9933333333333333,High
CUST007647,0.9933333333333333,High
CUST007441,0.9933333333333333,High
CUST001683,0.9933333333333333,High
CUST001667,0.9933333333333333,High
CUST005157,0.9933333333333333,High
CUST005089,0.9933333333333333,High
CUST006564,0.9933333333333333,High
CUST003505,0.9933333333333333,High
CUST004699,0.9933333333333333,High
CUST003811,0.9933333333333333,High
CUST005212,0.9933333333333333,High
CUST005199,0.9933333333333333,High
CUST006541,0.9933333333333333,High
CUST005180,0.9933333333333333,High
CUST005318,0.9933333333333333,High
CUST002499,0.9933333333333333,High
CUST003446,0.9933333333333333,High
CUST006489,0.9933333333333333,High
CUST005289,0.9933333333333333,High
CUST006505,0.9933333333333333,High
CUST001931,0.9933333333333333,High
CUST004646,0.9933333333333333,High
CUST002271,0.9933333333333333,High
CUST000954,0.9933333333333333,High
CUST000960,0.9933333333333333,High
CUST002215,0.9933333333333333,High
CUST002219,0.9933333333333333,High
CUST007021,0.9933333333333333,High
CUST002529,0.9933333333333333,High
CUST007203,0.9933333333333333,High
CUST006480,0.9933333333333333,High
CUST001615,0.9933333333333333,High
CUST005487,0.9933333333333333,High
