payment_id,customer_id,subscription_id,payment_date,amount,payment_method,payment_status,failed_payment_reason
PAY00000001,CUST000001,,2022-04-30,22.99,Debit Card,Success,
PAY00000002,CUST000001,,2022-05-30,22.99,Net Banking,Success,
PAY00000003,CUST000001,,2022-06-29,22.99,Debit Card,Success,
PAY00000004,CUST000001,,2022-07-29,22.99,Debit Card,Success,
PAY00000005,CUST000001,,2022-08-28,22.99,PayPal,Success,
PAY00000006,CUST000001,,2022-09-27,11.49,Credit Card,Success,
PAY00000007,CUST000001,,2022-10-27,22.99,PayPal,Success,
PAY00000008,CUST000001,,2022-11-26,22.99,PayPal,Success,
PAY00000009,CUST000001,,2022-12-26,22.99,Gift Card,Success,
PAY00000010,CUST000001,,2023-01-25,22.99,Debit Card,Success,
PAY00000011,CUST000001,,2023-02-24,22.99,Debit Card,Success,
PAY00000012,CUST000001,,2023-03-26,22.99,Credit Card,Success,
PAY00000013,CUST000001,,2023-04-25,22.99,Credit Card,Success,
PAY00000014,CUST000001,,2023-05-25,22.99,Credit Card,Success,
PAY00000015,CUST000001,,2023-06-24,22.99,Debit Card,Success,
PAY00000016,CUST000002,,2025-12-24,15.49,Debit Card,Success,
PAY00000017,CUST000002,,2026-01-23,15.49,Gift Card,Success,
PAY00000018,CUST000002,,2026-02-22,15.49,Debit Card,Success,
PAY00000019,CUST000002,,2026-03-24,15.49,Debit Card,Success,
PAY00000020,CUST000002,,2026-04-23,15.49,Credit Card,Success,
PAY00000021,CUST000002,,2026-05-23,15.49,Credit Card,Success,
PAY00000022,CUST000003,,2019-12-15,22.99,Gift Card,Success,
PAY00000023,CUST000003,,2020-01-14,22.99,Credit Card,Success,
PAY00000024,CUST000003,,2020-02-13,22.99,UPI,Success,
PAY00000025,CUST000003,,2020-03-14,22.99,Mobile Wallet,Success,
PAY00000026,CUST000003,,2020-04-13,22.99,Debit Card,Success,
PAY00000027,CUST000003,,2020-05-13,22.99,Net Banking,Success,
PAY00000028,CUST000003,,2020-06-12,22.99,UPI,Success,
PAY00000029,CUST000003,,2020-07-12,22.99,PayPal,Success,
PAY00000030,CUST000003,,2020-08-11,22.99,Debit Card,Success,
PAY00000031,CUST000003,,2020-09-10,22.99,Credit Card,Success,
PAY00000032,CUST000003,,2020-10-10,22.99,Credit Card,Success,
PAY00000033,CUST000003,,2020-11-09,22.99,Mobile Wallet,Success,
PAY00000034,CUST000003,,2020-12-09,22.99,Net Banking,Success,
PAY00000035,CUST000003,,2021-01-08,22.99,UPI,Success,
PAY00000036,CUST000003,,2021-02-07,22.99,Net Banking,Success,
PAY00000037,CUST000004,,2019-01-28,6.99,Debit Card,Success,
PAY00000038,CUST000004,,2019-02-27,6.99,Net Banking,Success,
PAY00000039,CUST000004,,2019-03-29,6.99,PayPal,Success,
PAY00000040,CUST000004,,2019-04-28,6.99,Mobile Wallet,Success,
PAY00000041,CUST000004,,2019-05-28,6.99,Credit Card,Success,
PAY00000042,CUST000004,,2019-06-27,6.99,Mobile Wallet,Success,
PAY00000043,CUST000004,,2019-07-27,6.99,Debit Card,Success,
PAY00000044,CUST000004,,2019-08-26,6.99,Debit Card,Failed,Card reported lost/stolen
PAY00000045,CUST000004,,2019-09-25,6.99,Debit Card,Success,
PAY00000046,CUST000004,,2019-10-25,6.99,Mobile Wallet,Success,
PAY00000047,CUST000004,,2019-11-24,6.99,UPI,Success,
PAY00000048,CUST000004,,2019-12-24,6.99,Gift Card,Success,
PAY00000049,CUST000004,,2020-01-23,6.99,Credit Card,Success,
PAY00000050,CUST000004,,2020-02-22,6.99,PayPal,Success,
PAY00000051,CUST000004,,2020-03-23,6.99,Credit Card,Success,
PAY00000052,CUST000005,,2024-07-24,6.99,Credit Card,Success,
PAY00000053,CUST000005,,2024-08-23,6.99,Mobile Wallet,Success,
PAY00000054,CUST000005,,2024-09-22,6.99,UPI,Success,
