subscription_id,customer_id,plan_id,subscription_start_date,subscription_end_date,subscription_status,auto_renew,cancellation_date,cancellation_reason,monthly_price
SUB0000001,CUST000001,PLAN03,2022-04-30,,Active,True,,,22.99
SUB0000002,CUST000002,PLAN02,2025-12-24,,Active,True,,,15.49
SUB0000003,CUST000003,PLAN03,2019-12-15,,Cancelled,True,2026-04-20,Too expensive,22.99
SUB0000004,CUST000004,PLAN01,2019-01-28,,Active,False,,,6.99
SUB0000005,CUST000005,PLAN01,2024-07-24,,Active,True,,,6.99
SUB0000006,CUST000006,PLAN03,2025-07-19,,Active,True,,,22.99
SUB0000007,CUST000007,PLAN02,2025-10-30,,Cancelled,True,2026-05-05,Password sharing crackdown,15.49
SUB0000008,CUST000008,PLAN02,2023-08-21,,Active,True,,,15.49
SUB0000009,CUST000009,PLAN02,2019-11-18,,Active,True,,,15.49
SUB0000010,CUST000010,PLAN01,2021-12-03,,Active,True,,,6.99
SUB0000011,CUST000011,PLAN01,2022-06-29,,Active,True,,,6.99
SUB0000012,CUST000012,PLAN02,2023-06-01,,Active,True,,,15.49
SUB0000013,CUST000013,PLAN01,2023-05-24,,Active,True,,,6.99
SUB0000014,CUST000014,PLAN02,2025-10-13,,Cancelled,True,2026-01-31,Too expensive,15.49
SUB0000015,CUST000015,PLAN02,2025-09-09,,Active,True,,,15.49
SUB0000016,CUST000016,PLAN01,2025-03-17,,Active,True,,,6.99
SUB0000017,CUST000017,PLAN01,2019-03-16,,Active,True,,,6.99
SUB0000018,CUST000018,PLAN01,2026-03-08,,Active,True,,,6.99
SUB0000019,CUST000019,PLAN02,2020-06-25,,Active,False,,,15.49
SUB0000020,CUST000020,PLAN01,2024-06-14,,Active,True,,,6.99
SUB0000021,CUST000021,PLAN03,2020-06-13,,Active,True,,,22.99
SUB0000022,CUST000022,PLAN02,2026-03-02,,Active,False,,,15.49
SUB0000023,CUST000023,PLAN02,2026-04-13,,Cancelled,False,2026-06-05,No longer needed,15.49
SUB0000024,CUST000024,PLAN01,2026-01-25,,Active,True,,,6.99
SUB0000025,CUST000025,PLAN01,2025-09-04,,Cancelled,True,2026-05-09,Too expensive,6.99
SUB0000026,CUST000026,PLAN01,2025-11-30,,Active,False,,,6.99
SUB0000027,CUST000027,PLAN01,2023-07-22,,Active,True,,,6.99
SUB0000028,CUST000028,PLAN02,2020-01-20,,Cancelled,True,2025-11-08,Content quality decline,15.49
SUB0000029,CUST000029,PLAN02,2021-12-18,,Cancelled,True,2025-10-07,Payment issues,15.49
SUB0000030,CUST000030,PLAN02,2023-11-16,2024-10-26,Plan Changed,True,,,15.49
SUB0000031,CUST000030,PLAN02,2024-10-26,,Active,True,,,15.49
SUB0000032,CUST000031,PLAN03,2023-06-10,,Active,True,,,22.99
SUB0000033,CUST000032,PLAN02,2020-02-15,,Cancelled,True,2026-01-22,Poor customer service experience,15.49
SUB0000034,CUST000033,PLAN01,2022-03-30,,Cancelled,True,2025-11-19,Household budget cuts,6.99
SUB0000035,CUST000034,PLAN01,2023-12-05,,Active,True,,,6.99
SUB0000036,CUST000035,PLAN03,2023-09-30,2026-06-24,Plan Changed,True,,,6.99
SUB0000037,CUST000035,PLAN01,2026-06-24,,Active,True,,,6.99
SUB0000038,CUST000036,PLAN01,2022-09-19,,Active,True,,,6.99
SUB0000039,CUST000037,PLAN02,2020-05-24,,Active,True,,,15.49
SUB0000040,CUST000038,PLAN02,2021-04-14,,Active,True,,,15.49
SUB0000041,CUST000039,PLAN02,2023-03-31,,Cancelled,True,2026-01-28,Poor customer service experience,15.49
SUB0000042,CUST000040,PLAN01,2024-07-24,,Active,True,,,6.99
SUB0000043,CUST000041,PLAN02,2021-09-30,,Active,True,,,15.49
SUB0000044,CUST000042,PLAN02,2022-07-14,,Active,True,,,15.49
SUB0000045,CUST000043,PLAN01,2021-11-21,,Active,True,,,6.99
SUB0000046,CUST000044,PLAN01,2022-04-29,,Cancelled,False,2026-02-06,Household budget cuts,6.99
