viewing_id,customer_id,content_id,viewing_date,watch_duration_minutes,completion_percentage,device_type,login_location,session_duration_minutes
VIEW00000001,CUST000001,CNT00299,2025-08-14,14,100.0,smart tv,United States,31
VIEW00000002,CUST000001,CNT00098,2026-03-07,42,49.0,smart tv,United States,51
VIEW00000003,CUST000001,CNT00187,2026-02-21,50,100.0,tablet,United States,57
VIEW00000004,CUST000001,CNT00126,2026-05-18,71,68.0,smart tv,United States,83
VIEW00000005,CUST000001,CNT00179,2026-05-12,49,69.0,mobile,United States,64
VIEW00000006,CUST000002,CNT00487,2026-04-08,29,60.0,laptop,United States,45
VIEW00000007,CUST000002,CNT00256,2026-05-01,46,45.0,smart tv,France,57
VIEW00000008,CUST000002,CNT00157,2026-01-29,49,47.0,smart tv,France,56
VIEW00000009,CUST000002,CNT00009,2025-12-29,41,79.0,smart tv,France,49
VIEW00000010,CUST000002,CNT00211,2026-04-19,41,97.0,tablet,France,59
VIEW00000011,CUST000003,CNT00036,2025-08-15,80,80.0,mobile,Germany,80
VIEW00000012,CUST000003,CNT00162,2026-02-12,3,73.0,mobile,DE,17
VIEW00000013,CUST000004,CNT00394,2025-09-10,50,80.0,mobile,Australia,52
VIEW00000014,CUST000004,CNT00338,2026-05-31,79,71.0,laptop,Australia,90
VIEW00000015,CUST000004,CNT00169,2025-12-03,77,74.0,smart tv,AU,93
VIEW00000016,CUST000004,CNT00261,2026-03-09,36,58.0,laptop,Australia,48
VIEW00000017,CUST000004,CNT00095,2026-06-07,65,73.0,smart tv,AU,75
VIEW00000018,CUST000004,CNT00184,2025-10-19,50,38.0,gaming console,Australia,50
VIEW00000019,CUST000004,CNT00243,2026-04-08,74,71.0,mobile,Australia,77
VIEW00000020,CUST000004,CNT00259,2025-12-25,38,45.0,tablet,Australia,44
VIEW00000021,CUST000005,CNT00372,2026-05-11,61,52.0,smart tv,United States,61
VIEW00000022,CUST000005,CNT00315,2025-07-27,46,84.0,smart tv,United States,58
VIEW00000023,CUST000005,CNT00287,2026-06-24,5,83.0,gaming console,United States,19
VIEW00000024,CUST000005,CNT00427,2026-04-24,36,77.0,tablet,united states,50
VIEW00000025,CUST000005,CNT00027,2025-12-26,67,71.0,tablet,United States,82
VIEW00000026,CUST000005,CNT00346,2025-07-17,26,57.0,mobile,United States,36
VIEW00000027,CUST000005,CNT00266,2025-12-26,7,51.0,laptop,United States,14
VIEW00000028,CUST000005,CNT00170,2025-08-12,25,50.0,mobile,United States,36
VIEW00000029,CUST000005,CNT00178,2025-10-24,39,86.0,smart tv,United States,51
VIEW00000030,CUST000005,CNT00381,2026-01-08,85,89.0,mobile,United States,93
VIEW00000031,CUST000006,CNT00098,2025-12-15,52,80.0,smart tv,Philippines,63
VIEW00000032,CUST000006,CNT00292,2026-04-21,59,82.0,gaming console,Philippines,66
VIEW00000033,CUST000006,CNT00408,2026-05-18,64,73.0,smart tv,Philippines,73
VIEW00000034,CUST000006,CNT00082,2025-09-13,28,65.0,tablet,PHILIPPINES,29
VIEW00000035,CUST000006,CNT00354,2026-01-24,14,100.0,gaming console,PH,29
VIEW00000036,CUST000006,CNT00210,2025-07-24,58,38.0,mobile,philippines,63
VIEW00000037,CUST000006,CNT00222,2025-10-26,99,85.0,laptop,Philippines,108
VIEW00000038,CUST000006,CNT00315,2025-07-21,48,27.0,gaming console,Philippines,57
VIEW00000039,CUST000007,CNT00265,2026-06-20,59,97.0,smart tv,Canada,67
VIEW00000040,CUST000007,CNT00429,2026-01-16,89,82.0,smart tv,Canada,92
VIEW00000041,CUST000007,CNT00243,2026-01-11,21,45.0,mobile,Canada,26
VIEW00000042,CUST000007,CNT00190,2025-11-17,55,95.0,laptop,Canada,57
VIEW00000043,CUST000007,CNT00191,2025-12-14,48,58.0,tablet,Canada,58
VIEW00000044,CUST000007,CNT00491,2026-02-13,93,83.0,laptop,Canada,93
VIEW00000045,CUST000007,CNT00039,2025-11-17,40,77.0,laptop,Canada,40
VIEW00000046,CUST000008,CNT00061,2025-12-18,10,41.0,mobile,Japan,15
VIEW00000047,CUST000008,CNT00159,2026-06-14,33,59.0,laptop,japan,46
VIEW00000048,CUST000008,CNT00035,2026-05-29,43,100.0,smart tv,Japan,43
VIEW00000049,CUST000008,CNT00023,2026-06-25,18,58.0,mobile,Japan,36
VIEW00000050,CUST000008,CNT00111,2026-01-02,63,89.0,mobile,Japan,66
VIEW00000051,CUST000008,CNT00112,2026-06-19,75,34.0,smarttv,Japan,85
VIEW00000052,CUST000008,CNT00170,2026-05-24,24,35.0,smart tv,Japan,34
VIEW00000053,CUST000008,CNT00244,2026-05-05,32,44.0,smart tv,Japan,48
VIEW00000054,CUST000008,CNT00323,2026-06-27,38,95.0,smartphone,Japan,43
VIEW00000055,CUST000008,CNT00385,2026-05-07,45,44.0,smart tv,Japan,61
VIEW00000056,CUST000008,CNT00055,2026-05-18,90,59.0,mobile,Japan,94
VIEW00000057,CUST000009,CNT00382,2025-10-24,57,96.0,gaming console,Germany,65
VIEW00000058,CUST000009,CNT00255,2026-05-28,89,89.0,smart tv,Germany,98
VIEW00000059,CUST000009,CNT00489,2026-01-31,97,64.0,smart tv,Germany,113
VIEW00000060,CUST000009,CNT00357,2026-04-11,70,86.0,tablet,germany,86
VIEW00000061,CUST000009,CNT00131,2026-05-30,63,71.0,smart tv,Germany,66
VIEW00000062,CUST000009,CNT00306,2025-08-11,61,56.0,mobile,Germany,70
VIEW00000063,CUST000009,CNT00063,2025-09-30,43,55.0,smart tv,Germany,58
VIEW00000064,CUST000009,CNT00296,2025-12-21,49,92.0,smart tv,Germany,68
VIEW00000065,CUST000009,CNT00238,2025-07-04,30,45.0,mobile,Germany,35
VIEW00000066,CUST000009,CNT00459,2026-01-30,39,100.0,gaming console,Germany,45
VIEW00000067,CUST000009,CNT00325,2026-04-27,24,57.0,smart tv,Germany,42
VIEW00000068,CUST000010,CNT00485,2025-12-17,3,55.0,phone,India,4
VIEW00000069,CUST000010,CNT00474,2026-04-17,22,39.0,laptop,Spain,38
VIEW00000070,CUST000010,CNT00048,2025-11-20,63,83.0,tablet,India,67
VIEW00000071,CUST000010,CNT00342,2026-06-06,48,100.0,smart tv,India,64
VIEW00000072,CUST000010,CNT00353,2026-01-10,24,88.0,mobile,India,24
